team,avg_age,possession,progressive_carries_per90,progressive_passes_per90,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_goals_against_per90,gk_shots_on_target_against,gk_save_pct,gk_pens_save_pct,gk_free_kick_goals_against_per90,gk_corner_kick_goals_against_per90,gk_own_goals_against_per90,gk_psxg_per90,gk_psnpxg_per_shot_on_target_against,gk_psxg_net_per90,gk_passes_pct_launched,gk_passes_per90,gk_passes_throws_per90,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks_per90,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses_per90,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net_per90,npxg_net_per90,passes_completed_per90,passes_per90,passes_pct,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium,passes_completed_long_per90,passes_long_per90,passes_pct_long,pass_xa_per90,xg_assist_net_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,sca_per90,sca_passes_live_per90,sca_passes_dead_per90,sca_take_ons_per90,sca_shots_per90,sca_fouled_per90,sca_defense_per90,gca_per90,gca_passes_live_per90,gca_passes_dead_per90,gca_take_ons_per90,gca_shots_per90,gca_fouled_per90,gca_defense_per90,tackles_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct,challenges_lost_per90,blocks_per90,blocked_shots_per90,blocked_passes_per90,interceptions_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_per90,take_ons_won_per90,take_ons_won_pct,take_ons_tackled_per90,take_ons_tackled_pct,carries_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct,season
Antwerp,24.9,43.2,13.166666666666666,31.333333333333332,1.0,0.67,1.67,1.0,1.67,1.03,0.67,1.7,0.91,1.58,2.83,36,55.6,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,2.066666666666667,0.33,-0.59,36.0,38.333333333333336,5.0,41.7,33.2,7.0,35.7,33.2,11.333333333333334,13.2,0.5,12.7,38.2,9.17,3.5,0.11,0.29,17.0,1,0.1,-0.03333333333333333,0.09999999999999999,351.0,437.1666666666667,80.3,6566.666666666667,2359.3333333333335,143.33333333333334,160.0,89.6,153.83333333333334,174.83333333333334,88.0,44.5,77.33333333333333,57.5,0.7000000000000001,0.0,6.166666666666667,24.166666666666668,6.5,1.3333333333333333,393.6666666666667,41.5,9.333333333333334,1.0,1.8333333333333333,16.333333333333332,17.166666666666668,4.166666666666667,1.5,1.8333333333333333,0.0,2.0,10.0,16.5,12.333333333333334,1.5,1.0,0.6666666666666666,0.5,0.5,1.33,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,16.5,9.333333333333334,8.166666666666666,6.333333333333333,2.0,8.833333333333334,19.666666666666668,44.9,10.833333333333334,13.666666666666666,4.333333333333333,9.333333333333334,7.666666666666667,24.166666666666668,18.5,0.8333333333333334,546.0,82.33333333333333,210.83333333333334,226.66666666666666,113.33333333333333,16.166666666666668,545.8333333333334,17.5,9.333333333333334,53.3,6.833333333333333,39.0,347.1666666666667,1680.3333333333333,809.1666666666666,11.0,3.0,15.333333333333334,9.833333333333334,346.5,31.0,0.16666666666666666,9.666666666666666,7.166666666666667,2.0,0.0,0.16666666666666666,0.16666666666666666,47.166666666666664,7.833333333333333,12.0,39.5,2024
Arsenal,25.7,55.8,19.333333333333332,42.333333333333336,2.67,2.17,4.83,2.5,4.67,1.79,1.38,3.17,1.66,3.04,0.67,18,77.8,0.0,0.0,0.16666666666666666,0.0,0.7166666666666667,0.24,0.04,38.4,31.666666666666668,4.5,32.1,30.5,6.166666666666667,32.4,31.1,11.666666666666666,15.7,1.33,15.5,39.2,13.17,5.17,0.19,0.48,14.9,1,0.13,0.8833333333333333,0.8333333333333334,495.3333333333333,575.3333333333334,86.1,8110.833333333333,2582.0,240.5,262.5,91.6,206.83333333333334,226.66666666666666,91.3,32.333333333333336,55.166666666666664,58.6,1.2166666666666666,0.7833333333333333,10.833333333333334,34.0,8.333333333333334,1.0,534.8333333333334,39.5,11.166666666666666,1.5,3.3333333333333335,9.666666666666666,16.5,4.0,2.3333333333333335,1.1666666666666667,0.0,1.0,8.666666666666666,23.67,16.833333333333332,2.3333333333333335,2.0,1.3333333333333333,0.8333333333333334,0.3333333333333333,4.5,3.6666666666666665,0.0,0.5,0.3333333333333333,0.0,0.0,13.833333333333334,7.5,3.6666666666666665,7.666666666666667,2.5,5.833333333333333,14.5,40.2,8.666666666666666,9.666666666666666,1.8333333333333333,7.833333333333333,6.666666666666667,20.5,13.833333333333334,0.16666666666666666,681.5,58.0,192.66666666666666,325.1666666666667,169.83333333333334,28.0,681.3333333333334,22.166666666666668,10.0,45.1,10.333333333333334,46.6,453.0,2422.0,1167.1666666666667,16.333333333333332,6.833333333333333,16.166666666666668,7.833333333333333,489.5,41.5,0.0,10.666666666666666,8.833333333333334,1.0,0.0,0.0,0.0,45.166666666666664,11.5,9.333333333333334,55.2,2024
Atlético Madrid,29.7,53.3,16.833333333333332,39.333333333333336,2.5,1.5,4.0,2.5,4.0,1.54,1.12,2.66,1.39,2.5,1.0,26,76.9,0.0,0.0,0.3333333333333333,0.16666666666666666,1.1166666666666667,0.28,0.28,34.0,22.0,4.666666666666667,26.5,31.5,6.833333333333333,43.9,35.8,13.5,4.9,0.33,9.7,37.8,13.67,5.17,0.18,0.48,17.0,1,0.1,0.9500000000000001,1.1166666666666667,557.5,651.8333333333334,85.5,9170.666666666666,2874.5,283.8333333333333,304.1666666666667,93.3,213.5,240.66666666666666,88.7,44.833333333333336,74.66666666666667,60.0,1.0833333333333333,0.3833333333333333,10.5,38.0,10.0,2.1666666666666665,610.3333333333334,39.5,9.0,1.6666666666666667,6.5,14.5,16.5,5.333333333333333,1.8333333333333333,1.8333333333333333,0.16666666666666666,2.0,8.333333333333334,25.5,20.666666666666668,1.3333333333333333,1.0,1.5,0.6666666666666666,0.3333333333333333,3.67,2.5,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.0,0.0,12.666666666666666,8.666666666666666,7.166666666666667,3.8333333333333335,1.6666666666666667,7.333333333333333,17.833333333333332,41.1,10.5,14.166666666666666,3.1666666666666665,11.0,8.0,20.666666666666668,20.333333333333332,0.3333333333333333,760.3333333333334,71.16666666666667,258.1666666666667,336.5,170.0,28.166666666666668,760.1666666666666,16.5,8.0,48.5,7.333333333333333,44.4,442.3333333333333,1839.5,924.6666666666666,12.166666666666666,6.333333333333333,12.0,5.5,555.3333333333334,39.166666666666664,0.16666666666666666,9.5,8.166666666666666,2.0,0.16666666666666666,0.0,0.16666666666666666,48.333333333333336,7.5,9.333333333333334,44.6,2024
Barcelona,26.8,61.7,29.0,58.333333333333336,1.83,1.83,3.67,1.83,3.67,1.75,1.5,3.25,1.75,3.25,1.0,21,71.4,0.0,0.0,0.0,0.0,1.1500000000000001,0.34,0.15,55.3,28.333333333333332,3.0,18.8,27.5,5.0,20.0,29.2,8.0,2.1,1.83,23.1,30.0,16.67,5.0,0.11,0.37,17.0,3,0.11,0.08333333333333333,0.08333333333333333,568.0,654.5,86.8,10017.0,2953.0,252.0,275.0,91.6,261.5,288.5,90.6,47.0,68.33333333333333,68.8,1.5166666666666666,0.3333333333333333,12.0,50.833333333333336,9.833333333333334,2.0,609.1666666666666,44.5,13.166666666666666,1.5,6.833333333333333,21.5,18.333333333333332,6.0,2.0,1.5,0.0,0.8333333333333334,9.166666666666666,28.17,21.166666666666668,1.3333333333333333,2.5,2.1666666666666665,0.6666666666666666,0.3333333333333333,3.17,2.3333333333333335,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,13.0,8.666666666666666,4.166666666666667,5.833333333333333,3.0,5.5,12.166666666666666,45.2,6.666666666666667,10.833333333333334,2.5,8.333333333333334,6.666666666666667,19.666666666666668,12.666666666666666,0.5,755.3333333333334,52.666666666666664,166.5,361.1666666666667,233.5,32.666666666666664,755.3333333333334,29.0,14.0,48.3,10.0,34.5,500.0,2584.8333333333335,1438.1666666666667,21.666666666666668,9.666666666666666,14.166666666666666,9.666666666666666,563.6666666666666,57.833333333333336,0.16666666666666666,10.833333333333334,10.5,0.8333333333333334,0.0,0.0,0.0,47.833333333333336,11.333333333333334,8.666666666666666,56.7,2024
Bayern Munich,27.7,57.7,25.5,50.666666666666664,2.0,1.67,3.67,1.83,3.5,1.54,1.26,2.81,1.42,2.69,1.0,18,72.2,0.0,0.0,0.0,0.0,1.3,0.39,0.3,47.2,37.5,4.166666666666667,30.2,30.1,7.166666666666667,9.3,20.0,9.0,3.7,1.67,29.0,34.1,13.67,4.67,0.13,0.39,15.9,3,0.11,0.45,0.4166666666666667,533.1666666666666,622.6666666666666,85.6,9732.0,3096.1666666666665,212.83333333333334,234.0,91.0,257.8333333333333,283.5,90.9,53.0,80.66666666666667,65.7,1.5166666666666666,0.39999999999999997,11.166666666666666,43.5,10.0,0.6666666666666666,577.0,43.5,9.833333333333334,3.6666666666666665,4.166666666666667,15.333333333333334,18.833333333333332,5.666666666666667,2.5,2.6666666666666665,0.0,2.1666666666666665,9.833333333333334,25.17,19.166666666666668,2.0,1.1666666666666667,2.0,0.8333333333333334,0.0,3.67,2.6666666666666665,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,17.0,11.0,7.833333333333333,6.666666666666667,2.5,8.333333333333334,18.833333333333332,44.2,10.5,11.666666666666666,2.5,9.166666666666666,8.5,25.5,13.0,0.3333333333333333,727.1666666666666,67.83333333333333,236.5,311.5,188.33333333333334,27.333333333333332,727.0,23.666666666666668,13.5,57.0,9.0,38.0,467.0,2424.6666666666665,1339.6666666666667,19.0,5.333333333333333,18.5,9.666666666666666,529.3333333333334,50.0,0.0,9.5,9.5,2.1666666666666665,0.0,0.16666666666666666,0.0,55.333333333333336,10.833333333333334,9.333333333333334,53.7,2024
Benfica,26.7,49.0,17.333333333333332,35.0,1.17,0.67,1.83,1.17,1.83,1.31,0.89,2.19,1.31,2.19,1.83,34,73.5,0.0,0.0,0.3333333333333333,0.0,2.433333333333333,0.37,0.6,39.7,23.333333333333332,4.0,26.4,28.5,9.166666666666666,38.2,35.3,12.0,4.2,1.0,12.1,38.0,11.83,4.5,0.1,0.26,16.8,1,0.11,-0.13333333333333333,-0.13333333333333333,398.3333333333333,502.8333333333333,79.2,6808.0,2523.6666666666665,188.66666666666666,216.5,87.1,154.0,185.16666666666666,83.2,38.666666666666664,66.33333333333333,58.3,1.0,-0.21666666666666667,8.333333333333334,30.666666666666668,6.333333333333333,1.0,447.8333333333333,53.5,15.166666666666666,1.0,3.1666666666666665,15.5,22.333333333333332,4.0,2.8333333333333335,0.6666666666666666,0.0,1.5,10.333333333333334,20.67,15.0,2.0,0.8333333333333334,1.6666666666666667,0.8333333333333334,0.3333333333333333,2.17,1.8333333333333333,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,21.5,13.0,11.666666666666666,7.666666666666667,2.1666666666666665,12.166666666666666,24.166666666666668,50.3,12.0,12.333333333333334,3.8333333333333335,8.5,8.666666666666666,30.166666666666668,19.0,0.3333333333333333,626.1666666666666,72.5,206.0,276.1666666666667,150.33333333333334,21.666666666666668,626.0,21.333333333333332,10.0,46.9,9.0,42.2,365.8333333333333,1945.8333333333333,865.1666666666666,15.166666666666666,4.166666666666667,12.833333333333334,11.833333333333334,396.1666666666667,34.833333333333336,0.0,8.166666666666666,12.5,1.5,0.0,0.6666666666666666,0.0,56.666666666666664,12.5,14.666666666666666,46.0,2024
Braga,28.1,53.2,18.666666666666668,46.0,1.0,1.0,2.0,1.0,2.0,1.38,0.93,2.32,1.25,2.19,2.0,32,62.5,0.0,0.0,0.16666666666666666,0.3333333333333333,1.7666666666666666,0.33,0.1,36.6,28.833333333333332,4.5,28.9,31.0,6.666666666666667,52.5,37.9,13.666666666666666,1.2,1.5,17.5,22.5,14.83,3.33,0.07,0.3,17.0,2,0.09,-0.3833333333333333,-0.25,474.6666666666667,561.8333333333334,84.5,8276.5,2818.3333333333335,219.16666666666666,239.0,91.7,194.66666666666666,214.83333333333334,90.6,47.833333333333336,78.66666666666667,60.8,1.3833333333333335,0.06666666666666667,11.833333333333334,40.166666666666664,10.0,3.5,514.3333333333334,46.5,14.833333333333334,0.6666666666666666,3.6666666666666665,22.333333333333332,16.166666666666668,5.833333333333333,2.3333333333333335,2.3333333333333335,0.0,1.0,8.166666666666666,26.67,20.166666666666668,2.1666666666666665,1.0,1.6666666666666667,1.1666666666666667,0.5,1.83,1.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,18.166666666666668,10.166666666666666,8.666666666666666,7.0,2.5,9.333333333333334,18.666666666666668,50.0,9.333333333333334,10.833333333333334,3.1666666666666665,7.666666666666667,7.5,25.666666666666668,15.833333333333334,0.16666666666666666,670.1666666666666,62.833333333333336,183.5,318.6666666666667,172.83333333333334,27.0,670.0,17.166666666666668,8.833333333333334,51.5,7.0,40.8,431.6666666666667,2128.5,1046.1666666666667,15.666666666666666,4.0,13.166666666666666,8.833333333333334,472.0,45.5,0.0,10.333333333333334,11.0,1.0,0.16666666666666666,0.0,0.3333333333333333,46.5,10.0,15.0,40.0,2024
Celtic,26.7,46.2,10.5,34.833333333333336,0.83,0.67,1.5,0.67,1.33,0.82,0.62,1.44,0.69,1.31,2.5,38,60.5,100.0,0.16666666666666666,0.3333333333333333,0.0,2.216666666666667,0.31,-0.28,36.7,32.0,6.0,12.0,23.8,8.666666666666666,13.5,22.4,14.0,1.2,0.17,5.9,47.8,7.67,3.67,0.09,0.18,14.0,0,0.1,0.016666666666666666,-0.016666666666666666,461.6666666666667,543.0,85.0,7912.666666666667,2610.0,207.66666666666666,228.5,90.9,216.33333333333334,240.66666666666666,89.9,31.5,53.666666666666664,58.7,0.65,0.049999999999999996,6.0,25.5,4.666666666666667,0.8333333333333334,491.8333333333333,49.666666666666664,15.166666666666666,1.6666666666666667,0.8333333333333334,10.0,20.333333333333332,2.1666666666666665,0.6666666666666666,0.6666666666666666,0.16666666666666666,1.5,8.5,12.5,9.833333333333334,0.6666666666666666,0.5,0.8333333333333334,0.5,0.16666666666666666,1.67,1.1666666666666667,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,13.333333333333334,8.166666666666666,7.5,4.666666666666667,1.1666666666666667,8.0,16.166666666666668,49.5,8.166666666666666,12.666666666666666,5.0,7.666666666666667,7.5,20.833333333333332,20.0,0.0,641.3333333333334,87.0,266.6666666666667,281.8333333333333,96.83333333333333,10.833333333333334,641.3333333333334,15.333333333333334,6.333333333333333,41.3,6.833333333333333,44.6,380.5,1731.8333333333333,793.5,8.166666666666666,1.3333333333333333,15.333333333333334,7.666666666666667,446.8333333333333,29.833333333333332,0.16666666666666666,8.5,11.833333333333334,1.6666666666666667,0.16666666666666666,0.3333333333333333,0.0,41.0,9.5,7.0,57.6,2024
Dortmund,27.8,44.0,18.0,31.5,1.17,1.0,2.17,1.0,2.0,1.33,0.9,2.23,1.2,2.09,0.67,22,86.4,50.0,0.0,0.0,0.0,1.3166666666666667,0.27,0.66,48.6,28.0,3.0,29.2,31.0,9.666666666666666,36.2,35.4,15.166666666666666,3.3,0.0,6.9,31.3,13.83,4.33,0.07,0.23,19.1,2,0.09,-0.16666666666666666,-0.19999999999999998,342.8333333333333,434.3333333333333,78.9,6101.833333333333,2481.5,159.83333333333334,185.16666666666666,86.3,134.0,156.5,85.6,38.333333333333336,65.0,59.0,0.7333333333333334,0.09999999999999999,11.166666666666666,26.5,6.833333333333333,1.0,385.5,46.666666666666664,10.666666666666666,0.3333333333333333,4.0,13.666666666666666,19.0,5.666666666666667,2.5,2.6666666666666665,0.0,2.1666666666666665,11.666666666666666,24.33,18.5,2.1666666666666665,1.5,1.3333333333333333,0.8333333333333334,0.0,2.17,1.8333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,23.0,13.166666666666666,13.5,8.0,1.5,12.5,22.0,56.8,9.5,14.833333333333334,4.666666666666667,10.166666666666666,10.166666666666666,33.166666666666664,22.833333333333332,0.16666666666666666,559.3333333333334,73.0,208.16666666666666,232.33333333333334,125.5,19.333333333333332,559.1666666666666,16.666666666666668,7.666666666666667,46.0,7.5,45.0,338.0,1969.0,936.5,13.0,4.333333333333333,12.833333333333334,7.666666666666667,338.1666666666667,31.333333333333332,0.0,11.0,10.0,2.1666666666666665,0.16666666666666666,0.3333333333333333,0.0,52.833333333333336,10.5,8.0,56.8,2024
FC Copenhagen,27.9,42.8,15.166666666666666,28.333333333333332,1.33,0.83,2.17,1.17,2.0,1.27,0.84,2.11,1.05,1.89,1.33,29,75.9,0.0,0.0,0.16666666666666666,0.0,1.5166666666666666,0.3,0.18,35.6,29.666666666666668,5.333333333333333,37.6,35.1,9.0,63.0,49.2,20.0,5.0,0.5,9.9,34.3,11.17,3.83,0.1,0.3,18.5,1,0.1,0.06666666666666667,0.11666666666666665,365.8333333333333,468.1666666666667,78.1,6123.666666666667,2226.0,179.16666666666666,205.66666666666666,87.1,134.33333333333334,160.66666666666666,83.6,35.666666666666664,67.16666666666667,53.1,0.9333333333333332,0.0,8.333333333333334,25.666666666666668,7.333333333333333,3.0,421.6666666666667,45.5,9.333333333333334,0.6666666666666666,2.5,14.5,21.5,3.3333333333333335,1.6666666666666667,1.1666666666666667,0.16666666666666666,1.0,9.0,20.5,14.166666666666666,1.3333333333333333,2.3333333333333335,2.1666666666666665,0.5,0.0,2.33,2.1666666666666665,0.0,0.0,0.16666666666666666,0.0,0.0,19.166666666666668,11.0,11.666666666666666,4.166666666666667,3.3333333333333335,11.166666666666666,21.166666666666668,52.8,10.0,13.5,4.0,9.5,8.833333333333334,28.0,26.166666666666668,0.3333333333333333,591.0,75.66666666666667,234.0,224.66666666666666,138.5,19.666666666666668,590.6666666666666,18.333333333333332,9.166666666666666,50.0,8.333333333333334,45.5,323.6666666666667,1540.3333333333333,805.1666666666666,10.5,3.5,16.5,8.333333333333334,362.8333333333333,28.166666666666668,0.3333333333333333,9.5,7.5,1.0,0.16666666666666666,0.16666666666666666,0.0,50.166666666666664,14.666666666666666,18.0,44.9,2024
